S.No,Service Name,Code,Dept,SLA (Days),CAN Required?,Validity,File Rules,Target Demographic,Govt Fee,e-Sevai Fee,Online & Offline Access Sources,Tracker URL,First Appellate Authority,Workflow
61,Guideline Value Search,REG-104,Registration,Instant,No,Real-time,None,Buyers / Sellers / Valuers,₹0,₹10 (CSC),Online: tnreginet.gov.inOffline: Sub-Registrar Office (SRO),tnreginet.gov.in,District Registrar,Direct Search by Street / Survey No. → Instant System Result
62,Marriage Registration (Hindu),REG-105,Registration,Same Day,No,Lifetime,PDF < 1MB,Married Couples,₹100,₹60 (CSC),Online: tnreginet.gov.inOffline: Sub-Registrar Office (SRO),tnreginet.gov.in,District Registrar,Online Application → SRO Appointment → Physical Appearance → Certificate Issue
63,Marriage Reg (Special Act),REG-106,Registration,30 Days,No,Lifetime,PDF < 1MB,Inter-Faith / Civil Couples,₹100,₹60 (CSC),Online: tnreginet.gov.inOffline: Sub-Registrar Office (SRO),tnreginet.gov.in,District Registrar,Online App → 30-Day Public Notice → Hearing → SRO Registration
64,Chitta Extract Download,LND-203,Land / Rev,Instant,No,Real-time,None,Land Owners / Public,₹20,₹10 (CSC),Online: eservices.tn.gov.inOffline: e-Sevai Centre,eservices.tn.gov.in/eservicesweb,District Revenue Officer,Direct Query Entry → Instant PDF Generation
65,Field Measurement Sketch (FMB),LND-204,Land / Rev,Instant,No,Real-time,None,Property Buyers / Surveyors,₹20,₹10 (CSC),Online: eservices.tn.gov.inOffline: e-Sevai Centre,eservices.tn.gov.in/eservicesweb,District Revenue Officer,Direct Query Entry by Survey No → Instant FMB Download
66,Natham Land Patta Transfer,LND-104,Land / Rev,30 Days,Yes,Lifetime,PDF < 200KB,Village Natham House Owners,₹60,₹15 (CSC),Online: eservices.tn.gov.inOffline: Taluk Office,eservices.tn.gov.in/eservicesweb,Sub-Collector / RDO,VAO → RI → ZDT Verification → Natham Patta Issue
67,Land Demarcation / Survey,LND-105,Land / Rev,30 Days,Yes,One-time,PDF < 200KB,Landowners disputing boundaries,₹400 / Point,₹15 (CSC),Online: eservices.tn.gov.inOffline: Taluk Office,eservices.tn.gov.in/eservicesweb,Revenue Divisional Officer,Fee Deposit → Surveyor Site Visit → Boundary Marking → Report Issue
68,FSSAI Food License (Basic),FSA-101,Food Safety,7 Days,No,1–5 Years,PDF < 1MB,Petty Food Business Vendors,₹100 / Year,₹60 (CSC),Online: foscos.fssai.gov.inOffline: District Food Safety Office,foscos.fssai.gov.in,Designated Food Safety Officer,Application Form A → Auto / Quick Verification → Registration Download
69,FSSAI Food License Renewal,FSA-102,Food Safety,7 Days,No,1–5 Years,PDF < 1MB,Registered Food Businesses,₹100 / Year,₹60 (CSC),Online: foscos.fssai.gov.inOffline: District Food Safety Office,foscos.fssai.gov.in,Designated Food Safety Officer,Application Form Submission → Payment → License Renewal Download
70,Fire Safety NOC Renewal,FIR-101,Fire & Rescue,15 Days,No,1 Year,PDF < 2MB,Commercial / Public Establishments,Statutory,₹100 (CSC),Online: tnfrs.tn.gov.inOffline: Station Fire Officer,tnfrs.tn.gov.in,Divisional Fire Officer,Inspection by Station Officer → Compliance Check → Renewal Certificate
71,Factory License Renewal,DIS-101,Industrial Safety,30 Days,No,1–10 Years,PDF < 2MB,Factory Owners / Industrial Units,Statutory,₹150 (CSC),Online: dish.tn.gov.inOffline: DISH Regional Office,dish.tn.gov.in,Director of Industrial Safety,Compliance Review → Online Fee Payment → Digital Renewal Order
72,Boiler License Renewal,BOI-101,Boilers Dept,15 Days,No,1 Year,PDF < 2MB,Chemical / Power Plant Operators,Statutory,₹150 (CSC),Online: boilers.tn.gov.inOffline: Inspector of Boilers,boilers.tn.gov.in,Chief Inspector of Boilers,Hydraulic Test Inspection → Fitness Certificate Issue
73,TNPCB Air/Water Renewal,PCB-101,Pollution Ctrl,30 Days,No,1–5 Years,PDF < 5MB,Industrial Units,Statutory,₹200 (CSC),Online: ocms.tnpcb.gov.inOffline: District Environmental Office,ocms.tnpcb.gov.in,Member Secretary (TNPCB),Inspection / Compliance Audit → Consent Order Renewal Download
74,Driving License Renewal,TRN-103,Transport,7 Days,No,5–10 Years,JPG/PDF,DL Holders near Expiry,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,sarathi.parivahan.gov.in,Regional Transport Officer,Form 1A Medical Upload → Fee Payment → DL Print & Dispatch
75,Address Change in DL,TRN-104,Transport,7 Days,No,Existing Validity,JPG/PDF,Relocated Driving License Holders,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,sarathi.parivahan.gov.in,Regional Transport Officer,Upload Residence Proof → Fee Payment → Updated DL Dispatch
76,Duplicate DL Application,TRN-105,Transport,7 Days,No,Existing Validity,PDF < 1MB,DL Holders who lost original,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,sarathi.parivahan.gov.in,Regional Transport Officer,Upload LDR (Lost Document Report) → Fee Payment → Duplicate DL Dispatch
77,International Driving Permit,TRN-106,Transport,3 Days,No,1 Year,PDF < 1MB,Drivers Traveling Overseas,"₹1,500",₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,sarathi.parivahan.gov.in,Regional Transport Officer,Passport/Visa Upload → Medical Form → RTO Verification → IDP Grant
78,Vehicle Ownership Transfer,TRN-201,Transport,15 Days,No,Lifetime,PDF < 2MB,Buyers & Sellers of Used Vehicles,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,vahan.parivahan.gov.in,Regional Transport Officer,Form 29/30 Submission → RTO Vehicle Inspection → New RC Issue
79,Vehicle RC Renewal (FC),TRN-202,Transport,7 Days,No,5 Years,PDF < 1MB,Commercial / Old Vehicle Owners,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,vahan.parivahan.gov.in,Regional Transport Officer,Fitness Test Slot → Vehicle Inspection by MVI → Fitness Certificate Issue
80,Hypothecation Addition (Loan),TRN-203,Transport,3 Days,No,Existing Validity,PDF < 1MB,Vehicle Buyers on EMI,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,vahan.parivahan.gov.in,Regional Transport Officer,Form 34 Upload → Bank Endorsement → Updated RC Issue
81,Hypothecation Cancellation,TRN-204,Transport,3 Days,No,Existing Validity,PDF < 1MB,Owners who closed vehicle loans,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,vahan.parivahan.gov.in,Regional Transport Officer,Bank NOC / Form 35 Upload → Verification → Updated RC Issue
82,NOC for Vehicle Transfer,TRN-205,Transport,7 Days,No,6 Months,PDF < 1MB,Vehicle Owners moving States,Statutory,₹60 (CSC),Online: parivahan.gov.inOffline: Regional Transport Office,vahan.parivahan.gov.in,Regional Transport Officer,Police Clearance → Form 28 Upload → RTO NOC Issuance
83,Property Assessment Name Chg,MUC-204,Local Body,15 Days,No,Lifetime,PDF < 1MB,Buyers / Inheritors of Property,₹60,₹15 (CSC),Online: tnurbantree.tn.gov.inOffline: Municipal Office,tnurbantree.tn.gov.in,Revenue Officer / Commissioner,Sale Deed Verification → Tax Record Mutation → Updated Assessment
84,New Water Connection App,MUC-205,Metro Water,30 Days,No,Lifetime,PDF < 2MB,Property Owners requiring connection,Statutory,₹60 (CSC),Online: chennaimetrowater.tn.gov.inOffline: Metro Water Depot,chennaimetrowater.tn.gov.in,Executive Engineer,Site Feasibility Inspection → Estimate Payment → Pipe Connection
85,New Sewerage Connection,MUC-206,Metro Water,30 Days,No,Lifetime,PDF < 2MB,Building Owners,Statutory,₹60 (CSC),Online: chennaimetrowater.tn.gov.inOffline: Metro Water Depot,chennaimetrowater.tn.gov.in,Executive Engineer,Site Inspection → Estimate Payment → Connection Execution
86,Trade License New Issue,MUC-102,Local Body,15 Days,No,1 Year,PDF < 1MB,New Shop / Business Operators,Statutory,₹60 (CSC),Online: tnesevai.tn.gov.inOffline: Corp Zonal Office,tnesevai.tn.gov.in/Citizen/TrackApplication,Municipal Commissioner,Sanitary Inspector Site Visit → NOC Check → License Generation
87,New TNEB Power Connection,TNE-102,TANGEDCO,15 Days,No,Lifetime,PDF < 1MB,Property Owners / Renters,Statutory,₹60 (CSC),Online: tangedco.orgOffline: TNEB Section Office,tangedco.org,Executive Engineer,Wiring Cert Review → Field Engineer Inspection → Meter Installation
88,TNEB Meter Name Transfer,TNE-103,TANGEDCO,7 Days,No,Lifetime,PDF < 1MB,Property Buyers,Statutory,₹60 (CSC),Online: tangedco.orgOffline: TNEB Section Office,tangedco.org,Assistant Executive Engineer,Document / Sale Deed Verification → Online Name Transfer
89,TNEB Tariff Change,TNE-104,TANGEDCO,7 Days,No,Existing Validity,PDF < 1MB,Owners changing use (Domestic/Comm),Statutory,₹60 (CSC),Online: tangedco.orgOffline: TNEB Section Office,tangedco.org,Assistant Executive Engineer,Field Engineer Verification → Deposit Difference → Tariff Revision
90,TNEB Meter Load Enhancement,TNE-105,TANGEDCO,7 Days,No,Existing Validity,PDF < 1MB,High Power Appliance Users,Statutory,₹60 (CSC),Online: tangedco.orgOffline: TNEB Section Office,tangedco.org,Assistant Executive Engineer,Wiring Test Verification → Sanction Fee Payment → Load Update
91,MSME Udyam Registration,MSM-101,Micro Small,Instant,No,Lifetime,None,Small Business Owners,₹0,₹30 (CSC),Online: udyamregistration.gov.inOffline: District Industries Centre,udyamregistration.gov.in,General Manager (DIC),Aadhaar + PAN Auto-Verification → Instant Certificate Download
92,GST Registration,GST-101,Commercial Tax,7 Days,No,Lifetime,PDF/JPG < 1MB,Businesses > ₹20L/₹40L Turnover,₹0,₹100 (CSC),Online: gst.gov.inOffline: Commercial Tax Office,gst.gov.in,Assistant Commissioner (CT),TRN Generation → Form REG-01 → Aadhaar Authentication → GSTIN Grant
93,Shops & Establishments Reg,LAB-101,Labor Dept,Instant/1Day,No,1 Year,PDF < 1MB,Retail Shops & Offices,Statutory,₹60 (CSC),Online: labour.tn.gov.inOffline: Labor Inspectorate,labour.tn.gov.in,Assistant Inspector of Labor,Online Form Submission → Auto Approval → Reg Certificate Download
94,Motor Transport Workers Reg,LAB-102,Labor Dept,15 Days,No,1 Year,PDF < 1MB,Transport Operators / Fleet Owners,Statutory,₹60 (CSC),Online: labour.tn.gov.inOffline: Labor Inspectorate,labour.tn.gov.in,Inspector of Labor,Document Review → Fee Payment → Registration Issuance
95,Contract Labor License,LAB-103,Labor Dept,30 Days,No,Contract Term,PDF < 2MB,Labor Contractors (>20 Workers),Statutory,₹100 (CSC),Online: labour.tn.gov.inOffline: Labor Inspectorate,labour.tn.gov.in,Licensing Officer,Principal Employer NOC Check → Fee Deposit → License Issue
96,Birth Cert Correction,CRS-103,Local Body,15 Days,No,Lifetime,PDF < 1MB,Individuals with Errors in Birth Cert,₹100,₹60 (CSC),Online: crstn.orgOffline: Municipal Health Office,crstn.org/birth_death_tn/,Registrar of Births & Deaths,Affidavit / Hospital Record Check → Order Passed → Revised Cert
97,Death Cert Correction,CRS-104,Local Body,15 Days,No,Lifetime,PDF < 1MB,Legal Heirs fixing Death Cert Errors,₹100,₹60 (CSC),Online: crstn.orgOffline: Municipal Health Office,crstn.org/birth_death_tn/,Registrar of Births & Deaths,Hospital Proof & Burial Record Check → Revised Cert Generation
98,Non-Availability Cert (Birth),CRS-105,Local Body,30 Days,No,Lifetime,PDF < 1MB,Unregistered Birth Seekers,Statutory,₹60 (CSC),Online: crstn.orgOffline: Corporation / Municipality,crstn.org/birth_death_tn/,Registrar of Births & Deaths,Search Historical Register → Verify Absence → Issue NAC
99,Senior Citizen ID Card,SWN-104,Social Welf,7 Days,No,Lifetime,PDF < 1MB,Residents Aged 60+ Years,₹0,₹30 (CSC),Online: tnesevai.tn.gov.inOffline: DSWO Office,tnesevai.tn.gov.in/Citizen/TrackApplication,District Social Welfare Officer,Age & Address Proof Verification → Digital ID Download
100,EWS Income & Asset Cert,REV-121,Revenue,15 Days,Yes,1 Financial Yr,PDF < 200KB,General Category Poor (<₹8L Income),₹60,₹15 (CSC),Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → HQDT → Tahsildar
