S.No,Service Name,Code,Dept,SLA (Days),CAN Required?,Validity,File Rules,Target Demographic,Govt Fee,e-Sevai Fee,Online & Offline Access Sources,Tracker URL,First Appellate Authority,Workflow
15,Small/Marginal Farmer,REV-117,Revenue,15 Days,Yes,1 Year,PDF < 200KB,Landholders < 2.5 Acres,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
16,Solvency Certificate,REV-118,Revenue,30 Days,Yes,6 Months,PDF < 200KB,Financial Solvency Seekers,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,District Revenue Officer,VAO → RI → ZDT → Tahsildar
17,No Male Child Cert,REV-119,Revenue,15 Days,Yes,Permanent,PDF < 200KB,Couples with Girl Child only,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT → Tahsildar
18,Unmarried Certificate,REV-120,Revenue,15 Days,Yes,6 Months,PDF < 200KB,Unmarried Residents,₹60,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Taluk e-Sevai,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → ZDT
19,Pawn Broker License,REV-401,Revenue,45 Days,Yes,1 Year,PDF < 200KB,Registered Pawn Businesses,Statutory,₹15,Online: tnesevai.tn.gov.inOffline: RDO Office,tnesevai.tn.gov.in/Citizen/TrackApplication,District Collector,RI → ZDT → Tahsildar → RDO
20,Money Lender's License,REV-402,Revenue,45 Days,Yes,1 Year,PDF < 200KB,Money Lending Entities,Statutory,₹15,Online: tnesevai.tn.gov.inOffline: RDO Office,tnesevai.tn.gov.in/Citizen/TrackApplication,District Collector,RI → ZDT → Tahsildar → RDO
21,Old Age Pension (IGNOPS),SSS-201,Social Sec,30 Days,Yes,Lifetime,PDF < 200KB,Destitute Seniors aged 60+,₹0,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Social Sec Office,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → SSS Tahsildar
22,Destitute Widow Pension,SSS-202,Social Sec,30 Days,Yes,Lifetime,PDF < 200KB,Destitute Widows without income,₹0,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Social Sec Office,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → SSS Tahsildar
23,Deserted Wives Pension,SSS-203,Social Sec,30 Days,Yes,Lifetime,PDF < 200KB,Deserted Women with legal proof,₹0,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Social Sec Office,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → SSS Tahsildar
24,Unmarried Women Pension,SSS-204,Social Sec,30 Days,Yes,Lifetime,PDF < 200KB,Unmarried Poor Women >50 Yrs,₹0,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: Social Sec Office,tnesevai.tn.gov.in/Citizen/TrackApplication,Revenue Divisional Officer,VAO → RI → SSS Tahsildar
25,Differently Abled Pension,SSS-205,Social Sec,30 Days,Yes,Lifetime,PDF < 200KB,UDID Cardholders (>40% Dis.),₹0,₹0 / ₹15,Online: tnesevai.tn.gov.inOffline: DDAWO Office,tnesevai.tn.gov.in/Citizen/TrackApplication,District Collector,VAO → RI → DDAWO → Tahsildar
26,Patta Transfer (Full Field),LND-101,Land / Rev,15 Days,Yes,Lifetime,PDF < 200KB,Full Title Deed Owners,₹60,₹0 / ₹15,Online: eservices.tn.gov.inOffline: Sub-Registrar,eservices.tn.gov.in/eservicesweb,Sub-Collector / RDO,VAO → RI → ZDT
27,Patta Transfer (Joint),LND-102,Land / Rev,15 Days,Yes,Lifetime,PDF < 200KB,Joint Property Owners,₹60,₹0 / ₹15,Online: eservices.tn.gov.inOffline: Sub-Registrar,eservices.tn.gov.in/eservicesweb,Sub-Collector / RDO,VAO → RI → ZDT
28,Patta Transfer (Subdiv),LND-103,Land / Rev,30 Days,Yes,Lifetime,PDF < 200KB,Divided Land Buyers,₹60 + Fee,₹0 / ₹15,Online: eservices.tn.gov.inOffline: Sub-Registrar,eservices.tn.gov.in/eservicesweb,Sub-Collector / RDO,VAO → RI → Surveyor → ZDT
29,Extract of A-Register,LND-201,Land / Rev,Instant,No,Real-time,None,Public verification,₹25,₹0 / ₹15,Online: eservices.tn.gov.inOffline: e-Sevai,eservices.tn.gov.in/eservicesweb,District Revenue Officer,Auto-generated System Download
30,Extract of Chitta,LND-202,Land / Rev,Instant,No,Real-time,None,Public verification,₹25,₹0 / ₹15,Online: eservices.tn.gov.inOffline: e-Sevai,eservices.tn.gov.in/eservicesweb,District Revenue Officer,Auto-generated System Download
31,New Smart Ration Card,CSC-101,Civil Supp,30 Days,No,Lifetime,JPG/PDF,Resident Families in TN,₹0,₹0 / ₹15,Online: tnpds.gov.inOffline: TSO Office,tnpds.gov.in/pages/box/card-status-box.xhtml,District Supply Officer,TSO Inspection → Approval
32,Ration Member Addition,CSC-102,Civil Supp,15 Days,No,Lifetime,JPG/PDF,Newly Weds / Newborns,₹0,₹0 / ₹15,Online: tnpds.gov.inOffline: TSO Office,tnpds.gov.in/pages/box/card-status-box.xhtml,District Supply Officer,TSO Verification → Approval
33,Ration Member Deletion,CSC-103,Civil Supp,15 Days,No,Lifetime,JPG/PDF,Moving out / Deceased Members,₹0,₹0 / ₹15,Online: tnpds.gov.inOffline: TSO Office,tnpds.gov.in/pages/box/card-status-box.xhtml,District Supply Officer,TSO Verification → Approval
34,Birth Certificate (Rural),CRS-101,Local Body,7 Days,No,Lifetime,PDF < 200KB,Newborn Parents in Villages,₹20,₹0 / ₹15,Online: crstn.orgOffline: Town Panchayat,crstn.org/birth_death_tn/,Deputy Director of Public Health,VAO / Health Inspector
35,Death Certificate (Rural),CRS-102,Local Body,7 Days,No,Lifetime,PDF < 200KB,Family of Deceased,₹20,₹0 / ₹15,Online: crstn.orgOffline: Town Panchayat,crstn.org/birth_death_tn/,Deputy Director of Public Health,VAO / Health Inspector
36,Trade License Renewal,MUC-101,Local Body,15 Days,No,1 Year,PDF < 200KB,Business / Shop Owners,Statutory,₹15,Online: tnesevai.tn.gov.inOffline: Corp Office,tnesevai.tn.gov.in/Citizen/TrackApplication,Municipal Commissioner,Sanitary Inspector → Licensing Off
37,Property Tax Payment,MUC-201,Local Body,Instant,No,Financial Yr,None,Property Assessment Holders,Tax Amt,Tiered,Online: tnurbantree.tn.gov.inOffline: Corp Counter,tnurbantree.tn.gov.in,Municipal Commissioner,Auto-generated System Receipt
38,Professional Tax Pay,MUC-202,Local Body,Instant,No,Half-Yearly,None,Salaried / Self-Employed,Tax Amt,Tiered,Online: tnurbantree.tn.gov.inOffline: Corp Counter,tnurbantree.tn.gov.in,Municipal Commissioner,Auto-generated System Receipt
39,Water Tax Payment,MUC-203,Metro Water,Instant,No,Financial Yr,None,Water Meter Connection Holders,Tax Amt,Tiered,Online: chennaimetrowater.tn.gov.inOffline: Water Board,chennaimetrowater.tn.gov.in,Managing Director CMWSSB,Auto-generated System Receipt
40,Pudhumai Penn Scheme,SWN-101,Social Welf,30 Days,No,Course Term,PDF < 200KB,Female Students from Govt School,₹0,₹120,Online: penkalvi.tn.gov.inOffline: DSWO Office,penkalvi.tn.gov.in,District Collector,DSWO Verification & Sanction
41,Muthulakshmi Scheme,SWN-102,Health,30 Days,No,Pregnancy,PDF < 200KB,Pregnant Women (>19 Yrs),₹0,₹120,Online: picme.tn.gov.inOffline: Local PHC,picme.tn.gov.in,Deputy Director of Health,VHN → Block Medical Officer
42,Girl Child Protection,SWN-103,Social Welf,45 Days,Yes,One-time,PDF < 200KB,Families with Girl Child only,₹0,₹120,Online: tnesevai.tn.gov.inOffline: DSWO Office,tnesevai.tn.gov.in/Citizen/TrackApplication,District Collector,DSWO Verification & Sanction
43,Learner License (LLR),TRN-101,Transport,Instant/1Day,No,6 Months,JPG < 50KB,Citizens aged 16+/18+,Statutory,₹60,Online: parivahan.gov.inOffline: RTO Office,sarathi.parivahan.gov.in,Regional Transport Officer,Auto-verification / Test Slot
44,Driving License Slot,TRN-102,Transport,1 Day,No,Slot Specific,JPG < 50KB,Active LLR Holders,Statutory,₹60,Online: parivahan.gov.inOffline: RTO Office,sarathi.parivahan.gov.in,Regional Transport Officer,RTO Online Slot Booking
45,Police Complaint Reg,POL-101,Police,15 Days,No,N/A,PDF < 200KB,Victims / General Public,₹0,₹20,Online: eservices.tnpolice.gov.inOffline: Police Station,eservices.tnpolice.gov.in,Superintendent of Police,SHO Review & Field Inquiry
46,CSR / FIR Status,POL-102,Police,Instant,No,Real-time,None,Complainants,₹0,₹10,Online: eservices.tnpolice.gov.inOffline: Police Station,eservices.tnpolice.gov.in,Inspector of Police,Instant System Fetch & Download
47,Employment Renewal,EMP-101,Employment,Instant,No,3 Years,PDF < 200KB,Registered Job Seekers,₹0,₹15,Online: tnvelaivaaippu.gov.inOffline: Employment Off,tnvelaivaaippu.gov.in,District Employment Officer,Instant Renewal & ID Print
48,Property Reg Slot,REG-101,Registration,Instant,No,Slot Date,PDF < 200KB,Buyers / Sellers,₹0,₹60,Online: tnreginet.gov.inOffline: Sub-Registrar,tnreginet.gov.in,Inspector General of Reg,Sub-Registrar Office Slot Booking
49,Encumbrance Cert (EC),REG-102,Registration,Instant,No,Real-time,None,Property Buyers / Verification,Statutory,₹60,Online: tnreginet.gov.inOffline: e-Sevai,tnreginet.gov.in,Sub-Registrar,Instant Online EC Fetch
50,TNEB Electricity Bill,TNE-101,TANGEDCO,Instant,No,Billing Term,None,Power Consumers,Bill Amt,₹15,Online: tnebltd.gov.inOffline: TNEB Section,tnebltd.gov.in,Superintending Engineer,Instant Payment Confirmation
